ta_season,ta_market,ta_name,ta_team_code,ta_team_id,ta_alias,ta_division,ta_current_division,ta_wins,ta_losses,ta_ties,spread_0,spread_1,spread_2,spread_3,spread_4,spread_5
2015,University of Houston,Cougars,288,1f99a164-d593-4d81-85d5-0d7889d6f486,HOU,1,D1,22,10,0,12,-6,1,7,0,-6
2015,Brigham Young University,Cougars,77,c31455b2-8a45-4248-aa8f-ce7eab1c6b02,BYU,1,D1,26,11,0,15,15,11,12,17,27
2015,Chicago State University,Cougars,136,2f8c85a7-54f4-4942-be16-2cbac77c82d7,CHS,1,D1,4,28,0,-24,-16,-6,-11,-22,-20
2015,Washington State University,Cougars,754,2d4f0015-adb4-4877-8c15-4a6eed7eed03,WSU,1,D1,9,22,0,-13,-5,-11,-6,1,9
2015,College of Charleston (South Carolina),Cougars,1014,8548dacb-3636-48a8-8c46-611ab0c15fc0,COFC,1,D1,17,14,0,3,-15,-4,13,7,15
2015,Southern Illinois University Edwardsville,Cougars,660,c206712f-2298-4279-b76c-834ac42809b9,SIUE,1,D1,6,22,0,-16,-4,-9,-9,-7,-13
2015,University of Wyoming,Cowboys,811,a7127c0a-a466-47ae-91ad-9a71ee2c9427,WYO,1,D1,13,18,0,-5,15,3,6,9,-11
2015,McNeese State University,Cowboys,402,d2ef641c-70e4-48bb-b40d-ac654d179205,MCNS,1,D1,9,20,0,-11,-1,-9,-3,1,9
2015,Oklahoma State University,Cowboys,521,8ab00d43-840a-4c96-bdee-bf88fa6e3f11,OKST,1,D1,12,20,0,-8,4,8,15,-3,6
2015,University of South Dakota,Coyotes,650,c946b7ac-5159-4817-93c4-fc9495c6425b,SDAK,1,D1,14,18,0,-4,1,-6,-10,-8,3
2015,Harvard University,Crimson,275,5c7bf63f-bc39-43c5-9907-73b50b7a6b34,HARV,1,D1,14,16,0,-2,14,22,10,21,16
2015,Drexel University,Dragons,191,f2d01b77-0f5d-4574-9e49-2a3eaf822e44,DREX,1,D1,6,25,0,-19,-8,2,-5,22,11
2015,U.S. Air Force Academy,Falcons,721,aa7af640-5762-4686-9181-39f7b8a8186e,AFA,1,D1,14,18,0,-4,-3,-6,4,-3,0
2015,Bowling Green State University,Falcons,71,a9e4d292-d074-40e7-a81a-f9342929b979,BGSU,1,D1,16,18,0,-2,9,-8,-6,0,-5
2015,"University of California, Santa Barbara",Gauchos,104,3b6293f3-03db-46d2-8793-248963c2d83b,UCSB,1,D1,19,14,0,5,5,12,-9,9,4
2015,Stetson University,Hatters,678,394d1b2b-7a19-4d43-b04a-5f366c24e5bf,STET,1,D1,12,22,0,-10,-13,-17,-1,-11,-15
2015,Alabama State University,Hornets,7,267d417a-8f85-4c87-a15a-068c089a74c6,ALST,1,D1,14,17,0,-3,9,6,-12,-7,-1
2015,Delaware State University,Hornets,178,ffa04cde-aa2d-4e91-b2cd-bde2bfed44de,DSU,1,D1,7,25,0,-18,0,-12,-3,1,-12
2015,"California State University, Sacramento",Hornets,102,1dc13b18-f9b3-4bb9-b1cf-979fcd8c2b6f,SAC,1,D1,14,17,0,-3,9,-2,-1,-8,-14
2015,Northeastern University,Huskies,500,93df9b18-e9fc-42a7-bb45-a736c203b4dc,NE,1,D1,18,15,0,3,11,-10,7,-3,-9
2015,University of Washington,Huskies,756,e52c9644-717a-46f4-bf16-aeca000b3b44,WASH,1,D1,19,15,0,4,1,2,2,13,13
2015,University of Connecticut,Huskies,164,efba5350-79bc-47aa-a189-db177b95b491,CONN,1,D1,25,11,0,14,5,24,10,6,23
2015,Houston Baptist University,Huskies,287,95a27dc5-16d5-4745-9adb-34c41e1444e8,HBU,1,D1,17,17,0,0,-4,-19,-3,-10,-21
2015,Northern Illinois University,Huskies,503,3f0ac618-3742-471a-9d1f-03e08f3deca2,NIU,1,D1,21,13,0,8,-2,-2,-20,-21,-12
2015,University of South Alabama,Jaguars,646,10c614fa-9646-46cf-a1fb-5af96772bbb8,USA,1,D1,14,19,0,-5,-9,-9,4,5,-4
2015,"Southern University, Baton Rouge",Jaguars,665,a3b13d27-ec14-4a7d-88a2-0bc9f7b58984,SOU,1,D1,22,13,0,9,1,6,13,3,-22
2015,Indiana University-Purdue University at Indianapolis,Jaguars,2699,90ec10eb-38a4-4a69-b072-ef71d294933b,IUPU,1,D1,13,19,0,-6,-11,-20,-20,-4,5
2015,Manhattan College,Jaspers,381,7a270923-01d6-4a6f-a93e-e8786266d502,MAN,1,D1,13,18,0,-5,5,17,-4,8,-19
2015,Virginia Military Institute,Keydets,741,227d3567-d57b-417e-afc4-735e4cb308a1,VMI,1,D1,9,21,0,-12,-8,9,-3,1,5
2015,University of Central Florida,Knights,128,054c3e85-0552-4549-b123-7e84af6e7b6c,UCF,1,D1,12,18,0,-6,-6,-5,9,11,-12
2015,"Fairleigh Dickinson University, Metropolitan",Knights,222,b71d5a1b-2671-4e5a-b94b-06bfb22a27dd,FDU,1,D1,18,15,0,3,-13,-11,-17,-23,-19
2015,Longwood University,Lancers,363,600aad0e-85e7-4db8-be0b-94ba02a08e55,LONG,1,D1,10,23,0,-13,-12,-16,-17,-11,-7
2015,University of North Florida,Ospreys,2711,09920a5f-1b25-466c-b5ae-6167214f5ba9,UNF,1,D1,22,12,0,10,11,0,-6,0,-4
2015,Elon University,Phoenix,1068,8accb91e-6086-41b3-a420-7a82fa442365,ELON,1,D1,16,16,0,0,-3,4,9,-1,-3
2015,"University of Wisconsin, Green Bay",Phoenix,794,61a3e5ab-1be3-4694-b83f-edae0953f409,GB,1,D1,23,13,0,10,15,17,2,0,-4
2015,Hampton University,Pirates,270,161354af-1f3e-4d58-88f7-e016ec74b7b6,HAMP,1,D1,21,11,0,10,-1,5,-3,-9,15
2015,Seton Hall University,Pirates,635,aef5e386-d8e8-460c-8014-3a2f090fd988,HALL,1,D1,25,9,0,16,1,0,-3,8,-5
2015,East Carolina University,Pirates,196,a601205f-3bfe-4052-ac0b-b8f18cf3efd3,ECU,1,D1,12,20,0,-8,-5,0,11,-1,2
2015,University of Pennsylvania,Quakers,540,e6c94452-1adf-4fb9-90e5-10f165c57c5a,PENN,1,D1,11,17,0,-6,-10,-12,-13,7,-2
2015,Colgate University,Raiders,153,80a19b57-d6ab-4bee-934f-33a72c2e958a,COLG,1,D1,13,17,0,-4,-1,-5,-10,-14,-16
2015,Wright State University,Raiders,810,9c396fa7-c165-4599-8542-158bd0d9a199,WRST,1,D1,22,13,0,9,-9,6,10,-6,5
2015,University of Toledo,Rockets,709,34dd83ac-64f2-4b73-8577-899b2a46f5cc,TOL,1,D1,17,15,0,2,7,20,2,2,-24
2015,Southern Illinois University at Carbondale,Salukis,659,7cdfcf92-7fe7-46f1-9b66-6912114182e6,SIU,1,D1,22,10,0,12,-9,-5,-3,-15,-6
2015,University of Oklahoma,Sooners,522,b2fda957-e15c-4fb2-8a13-6e58496f561e,OKLA,1,D1,29,8,0,21,13,13,8,-1,-4
2015,University of Richmond,Spiders,575,9b66e1e0-aace-4671-9be2-54c8acf5ecfc,RICH,1,D1,16,16,0,0,7,5,4,0,21
2015,University of San Diego,Toreros,627,620d5944-7156-47d3-aad5-5b3824557d03,USD,1,D1,9,21,0,-12,-1,1,-2,-5,-18
2015,Troy University,Trojans,716,6373b18c-62f6-49bc-bd4c-8959a2466516,TROY,1,D1,9,22,0,-13,-9,-9,-9,-8,-13
2015,University of Southern California,Trojans,657,3a000455-de7c-4ca8-880e-abdce7f21da9,USC,1,D1,21,13,0,8,-8,-10,-4,-20,4
2015,"University of Arkansas, Little Rock",Trojans,32,0dadedb0-2bd3-45e7-91a3-93af6c4e87f2,UALR,1,D1,30,5,0,25,-5,-2,2,-1,2
2015,University of Idaho,Vandals,295,ec6185b7-4e0c-4eb8-99ef-f3a4dccf6b91,IDHO,1,D1,21,13,0,8,-4,-2,-6,5,4
2015,Portland State University,Vikings,550,79965018-7f6f-4273-9eef-65c99b592b01,PRST,1,D1,13,18,0,-5,1,2,-12,2,-2
2015,Cleveland State University,Vikings,148,e30c0417-b220-424e-886e-dd1249e2ca5a,CLEV,1,D1,9,23,0,-14,4,9,-4,11,18
2015,Binghamton University,Bearcats,62,fa0f8282-c4f1-490e-962c-f25350cd76f4,BING,1,D1,8,22,0,-14,-20,-16,-24,-27,-15
2015,University of Cincinnati,Bearcats,140,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,CIN,1,D1,22,11,0,11,12,20,10,15,17
2015,Sam Houston State University,Bearkats,624,67322042-9c40-4dc2-b33a-4754c02ec82a,SHSU,1,D1,18,16,0,2,17,13,0,-6,5
2015,Creighton University,Bluejays,169,7d797407-623e-476d-b299-46de4275414d,CREI,1,D1,20,15,0,5,-5,19,20,23,7
2015,The Ohio State University,Buckeyes,518,857462b3-0ab6-4d26-9669-10ca354e382b,OSU,1,D1,21,14,0,7,13,15,21,23,31
2015,The Citadel,Bulldogs,141,412e7f0d-fb93-4e6e-be1f-9a4c7490d121,CIT,1,D1,10,22,0,-12,-8,-19,-14,-18,-12
2015,Yale University,Bulldogs,813,ca478771-aa3d-4231-81e0-b70f519134fb,YALE,1,D1,23,7,0,16,12,5,-3,9,2
2015,Drake University,Bulldogs,189,aed211c3-23a4-4188-ad70-22c6eba7d765,DRKE,1,D1,7,24,0,-17,-13,-1,-2,2,-5
2015,Bryant University,Bulldogs,81,61dadefa-76bf-4db4-8067-f88df540b9cd,BRY,1,D1,8,23,0,-15,1,4,7,-26,-12
2015,Butler University,Bulldogs,87,bdb7d7a4-45f8-4bf3-ab85-15488c451494,BUT,1,D1,22,11,0,11,12,-3,18,7,18
2015,Gonzaga University,Bulldogs,260,2f4d21f8-6d5f-48a5-abca-52a30583871a,GONZ,1,D1,28,8,0,20,32,22,29,19,15
2015,Samford University,Bulldogs,625,c13f96ba-c79c-452f-9f63-3b45fae4e543,SAM,1,D1,14,19,0,-5,-6,-7,-10,-8,-7
2015,University of Georgia,Bulldogs,257,4f4b0771-994c-4126-822d-7525aaa00f65,UGA,1,D1,20,14,0,6,9,6,-2,-2,9
2015,Alabama A&M University,Bulldogs,6,949c3398-85e4-4c63-ba71-9a82e06ddea4,AAMU,1,D1,11,18,0,-7,-11,-2,-9,-14,-2
2015,Louisiana Tech University,Bulldogs,366,8ff733a9-9f93-46de-ba7e-cf6f7e429670,LT,1,D1,23,10,0,13,18,21,20,2,-8
2015,Mississippi State University,Bulldogs,430,a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae,MSST,1,D1,14,17,0,-3,-6,-5,-12,9,3
2015,South Carolina State University,Bulldogs,647,a44f8c85-7ab6-4a4e-b6f1-c69a4cabe1ed,SCST,1,D1,19,15,0,4,-11,-12,-18,-21,-12
